OrganisasjonsNummer;BrregNavn;AntallAnsatte;Kode;Kode;Slettedato;Konkurs
814880702;Løvlie Hytteservice;0;43.919;ENK;;False
813587882;Löwenstein Tømrer AS;3;41.200;AS;;False
820427092;M&M PROPERTY AS;0;68.209;AS;;False
811996432;M7 Regnskap AS;0;69.201;AS;;False
822076882;MA AKTIVA AS;0;64.308;AS;;False
821255112;Madame Beauté Cristina Ioana Ionita Skjæveland;0;96.040;ENK;;False
818112572;Maison Grabot AS;0;10.710;AS;;False
819700842;MALERBODEN STORD AS;7;47.523;AS;;False
817896952;MANGA RISIO ONWUAGHA;0;86.230;ENK;;False
822719392;Mantiz AS;0;62.020;AS;;False
822244572;MAP CO OSLO AS;0;41.200;AS;;False
822433502;Mari Staveland AS;1;70.220;AS;;False
822406742;MARMAG HENRIKSEN;0;43.320;ENK;;False
815420152;MARQUEE AS;0;59.200;AS;;False
813288842;MARVIN HANSEN EIENDOM AS;5;43.120;AS;;False
812262432;MASKIN UTLEIE AS;0;68.100;AS;;False
815161742;MATRIX ADVOKATER AS;12;69.100;AS;;False
816964482;MAWA PLAST AS;1;22.290;AS;;False
821228182;MB BYGG AS;0;41.200;AS;;False
819935602;MC GARASJEN AS;3;45.403;AS;;False
815450132;MEDIER24 AS;15;58.130;AS;;False
821422442;MERAKI FRISØR AS;4;96.020;AS;;False
